,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
7757,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7758,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7759,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7760,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7761,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7762,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7763,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7764,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7765,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7766,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7767,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7768,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7769,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Parcel Return Service,DC,113657,38990
7770,ZCTA5 20019,20019,Zip Code Area,Zip matches ZCTA,Washington,DC,50431,26065
7771,ZCTA5 20019,20019,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,50431,26065
7772,ZCTA5 20020,20020,Zip Code Area,Zip matches ZCTA,Washington,DC,43826,34334
7773,ZCTA5 20020,20020,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,43826,34334
7774,ZCTA5 20024,20024,Zip Code Area,Zip matches ZCTA,Washington,DC,137065,75712
